name;num_op;num_thread;write_time;read_time;update_time
Sequential_Hashmap;2000000;1;0.1671;0.0597;0
Single_Hashmap;2000000;4;0.1469;0.0610;0
Sharded_HashMap;2000000;4;0.1283;0.0545;0.000005
Sequential_Hashmap;2000000;1;0.1530;0.0731;0
Single_Hashmap;2000000;8;0.1611;0.0702;0
Sharded_HashMap;2000000;8;0.1325;0.0329;0.000005
Sequential_Hashmap;5000000;1;0.5866;0.1717;0
Single_Hashmap;5000000;4;0.6038;0.1632;0
Sharded_HashMap;5000000;4;0.3229;0.1429;0.000005
Sequential_Hashmap;5000000;1;0.5351;0.1709;0
Single_Hashmap;5000000;8;0.5839;0.1608;0
Sharded_HashMap;5000000;8;0.2660;0.1181;0.000005
Sequential_Hashmap;8000000;1;1.1269;0.3029;0
Single_Hashmap;8000000;4;1.2060;0.2717;0
Sharded_HashMap;8000000;4;0.5947;0.2146;0.000008
Sequential_Hashmap;8000000;1;1.0289;0.2833;0
Single_Hashmap;8000000;8;1.0512;0.2873;0
Sharded_HashMap;8000000;8;0.4723;0.1846;0.000005
Sequential_Hashmap;10000000;1;1.4120;0.3553;0
Single_Hashmap;10000000;4;1.4224;0.3583;0
Sharded_HashMap;10000000;4;0.6706;0.2830;0.000005
Sequential_Hashmap;10000000;1;1.3390;0.3521;0
Single_Hashmap;10000000;8;1.3422;0.3444;0
Sharded_HashMap;10000000;8;0.5522;0.2209;0.000005
