name;num_op;num_thread;write_time;read_time;update_time
Sharded_HashMap;200000000;4;18.8688;9.9156;0.000021
Sharded_HashMap;200000000;8;13.2681;4.6871;0.000015
Sharded_HashMap;200000000;16;10.1737;2.5245;0.000028
Sharded_HashMap;200000000;32;7.7995;4.5141;0.000027
Sharded_HashMap;500000000;4;52.9979;39.5424;0.000027
Sharded_HashMap;500000000;8;36.4357;22.3201;0.000034
Sharded_HashMap;500000000;16;26.7102;20.2131;0.000030
Sharded_HashMap;500000000;32;20.5717;6.5296;0.000031
Sharded_HashMap;800000000;4;85.5571;65.4115;0.000026
Sharded_HashMap;800000000;8;57.9234;34.1248;0.000027
Sharded_HashMap;800000000;16;37.0212;21.4495;0.000027
Sharded_HashMap;800000000;32;27.5287;26.2219;0.000022
Sharded_HashMap;1000000000;4;129.1674;75.9198;0.000013
Sharded_HashMap;1000000000;8;93.6011;32.4226;0.000026
Sharded_HashMap;1000000000;16;63.2868;35.4042;0.000025
Sharded_HashMap;1000000000;32;45.9171;47.8196;0.000020
